Month	Mozart	Beethoven	Bach
2004-01	12	8	15
2004-02	12	9	15
2004-03	12	9	14
2004-04	12	8	14
2004-05	11	9	13
2004-06	9	7	12
2004-07	7	5	11
2004-08	7	6	11
2004-09	9	7	12
2004-10	11	8	13
2004-11	11	8	14
2004-12	10	8	13
2005-01	11	8	13
2005-02	11	8	16
2005-03	10	8	13
2005-04	11	8	13
2005-05	11	8	12
2005-06	9	7	12
2005-07	7	5	11
2005-08	7	5	12
2005-09	9	6	11
2005-10	10	7	12
2005-11	11	7	12
2005-12	11	7	12
2006-01	100	7	13
2006-02	25	7	12
2006-03	19	7	14
2006-04	14	6	12
2006-05	15	7	12
2006-06	11	5	11
2006-07	8	4	10
2006-08	8	4	10
2006-09	10	5	11
2006-10	11	6	11
2006-11	11	7	12
2006-12	12	6	11
2007-01	10	6	11
2007-02	9	6	11
2007-03	9	6	11
2007-04	8	6	10
2007-05	8	6	11
2007-06	7	5	10
2007-07	6	4	9
2007-08	6	4	9
2007-09	7	5	10
2007-10	8	5	11
2007-11	8	6	11
2007-12	7	5	11
2008-01	7	5	10
2008-02	7	5	10
2008-03	7	5	11
2008-04	7	5	11
2008-05	7	5	10
2008-06	6	5	10
2008-07	5	4	9
2008-08	5	4	10
2008-09	6	5	10
2008-10	7	5	11
2008-11	7	6	11
2008-12	7	5	11
2009-01	8	5	11
2009-02	8	5	11
2009-03	8	6	12
2009-04	8	6	11
2009-05	8	6	11
2009-06	7	5	10
2009-07	6	4	10
2009-08	7	4	11
2009-09	7	5	12
2009-10	8	5	11
2009-11	8	6	11
2009-12	8	5	11
2010-01	8	5	11
2010-02	8	5	11
2010-03	7	5	12
2010-04	7	5	11
2010-05	7	6	11
2010-06	6	4	10
2010-07	5	4	12
2010-08	5	4	11
2010-09	6	5	11
2010-10	8	5	11
2010-11	9	5	11
2010-12	8	5	10
2011-01	9	5	10
2011-02	8	5	10
2011-03	8	5	11
2011-04	8	5	10
2011-05	8	5	10
2011-06	7	5	10
2011-07	6	4	10
2011-08	6	4	11
2011-09	7	5	11
2011-10	7	5	11
2011-11	8	6	11
2011-12	8	5	11
2012-01	8	5	10
2012-02	7	5	11
2012-03	7	5	11
2012-04	7	5	10
2012-05	7	5	9
2012-06	6	4	9
2012-07	5	4	10
2012-08	5	4	10
2012-09	6	4	10
2012-10	6	5	22
2012-11	6	5	10
2012-12	6	5	10
2013-01	7	5	10
2013-02	6	5	9
2013-03	6	5	10
2013-04	6	5	10
2013-05	6	5	10
2013-06	5	4	9
2013-07	5	4	9
2013-08	5	4	10
2013-09	6	4	10
2013-10	6	5	10
2013-11	6	5	9
2013-12	6	4	9
2014-01	6	4	9
2014-02	6	4	10
2014-03	6	4	10
2014-04	6	4	10
2014-05	6	5	9
2014-06	5	4	9
2014-07	5	3	9
2014-08	5	4	9
2014-09	5	4	9
2014-10	6	4	9
2014-11	6	5	9
2014-12	6	4	9
2015-01	7	4	10
2015-02	6	4	10
2015-03	6	4	10
2015-04	6	4	10
2015-05	6	4	10
2015-06	5	4	9
2015-07	4	3	9
2015-08	5	3	10
2015-09	5	4	9
2015-10	5	4	9
2015-11	5	4	9
2015-12	6	10	9
2016-01	9	4	9
2016-02	6	4	8
2016-03	6	4	10
2016-04	5	4	10
2016-05	5	4	9
2016-06	5	3	8
2016-07	4	3	9
	4	3	9
