ID,RecordedDate,ResponseId,Q1,Q2,Q3,Q4,Q5,Zip
1,5/26/17 10:53,R_4YgH4SiX,3,1,3,2,1,91037
2,5/26/17 10:58,R_6eqq3dJF,3,1,1,1,2,91045
3,5/26/17 11:04,R_3I6JSvCz,2,1,3,2,2,91606
4,5/26/17 11:04,R_6mW267yl,2,2,3,2,2,91321
5,5/26/17 11:23,R_6hYlSoCv,4,5,4,1,2,91088
6,5/26/17 11:24,R_2SCzHx7U,2,2,4,2,3,91501
7,5/26/17 11:26,R_2t9Tw96e,2,2,1,2,3,91003
8,5/26/17 11:49,R_6CvgWM2Q,3,2,2,1,2,91663
9,5/26/17 12:27,R_55fwSH6T,1,2,5,1,1,91097
10,5/26/17 12:39,R_U9Yz8jvX,4,2,2,1,1,91015
11,5/26/17 12:56,R_DdHLShE7,2,4,4,1,1,91770
12,5/26/17 13:00,R_PvrRHITR,2,2,2,2,2,91341
13,5/26/17 13:03,R_3QKlEXWk,2,2,2,1,1,91726
14,5/26/17 13:09,R_2BagINAZ,5,2,2,1,1,91404
15,5/26/17 13:17,R_UA4VP8Gd,4,2,4,3,2,91074
16,5/26/17 13:22,R_6EafdEOg,3,1,2,1,2,91041
17,5/26/17 13:29,R_2eQF6gET,2,1,4,3,1,91065
18,5/26/17 13:39,R_6FLGJ88c,1,1,5,1,2,91315
19,5/26/17 13:54,R_3phWbtaR,2,1,5,2,1,91070
20,5/26/17 14:20,R_uy8VECdI,2,2,3,1,3,91642
21,5/26/17 14:28,R_8Bog9wHR,5,2,5,1,1,91098
22,5/26/17 14:34,R_vojMotBT,1,2,1,1,2,91003
23,5/26/17 14:34,R_24Ghf5Ig,2,2,3,2,2,91047
24,5/26/17 14:37,R_2DTxAaiO,2,1,2,3,1,91119
25,5/26/17 14:41,R_b3MKAmB2,4,1,2,2,2,91102
26,5/26/17 14:44,R_2xErOQHX,4,1,4,1,1,91321
27,5/26/17 14:44,R_2dSyxoGm,1,1,5,1,1,91118
28,5/26/17 15:07,R_0jJT6RWN,2,1,2,1,1,91065
29,5/26/17 15:08,R_277jNhm4,2,2,4,3,2,91109
30,5/26/17 15:12,R_6RF5M7LF,1,2,1,1,1,91404
31,5/26/17 15:16,R_6djdJJrV,4,1,3,1,1,91062
32,5/26/17 15:19,R_2eP5oIiu,5,1,4,1,1,91070
33,5/26/17 15:30,R_2V8s6p6C,2,1,4,1,1,91088
34,5/26/17 15:36,R_32L85Zjy,2,1,2,1,2,91404
35,5/26/17 15:42,R_3pbhXgC7,2,2,4,1,2,91655
36,5/26/17 15:43,R_3FWdKkeZ,5,2,4,1,1,91045
37,5/26/17 15:55,R_3gMCxBfi,4,5,5,2,1,91014
38,5/26/17 16:05,R_2EiV2zCC,4,2,2,1,3,91721
39,5/26/17 16:10,R_A7LkPI7W,3,5,5,2,3,91015
40,5/26/17 16:10,R_2ONiMQAg,4,4,3,1,2,91067
41,5/26/17 16:14,R_2YLj6oXw,2,2,4,2,1,91606
42,5/26/17 16:26,R_3r2F4HxZ,2,2,2,3,1,91404
43,5/26/17 16:27,R_6FsTQfYJ,4,2,4,2,1,91096
44,5/26/17 16:49,R_SGKj5Yt0,2,2,1,1,2,91067
45,5/26/17 17:33,R_2SfbYVBw,3,1,5,3,1,91606
46,5/26/17 17:48,R_6Kf35mW6,3,2,5,2,2,91111
47,5/26/17 17:48,R_2WT0jFty,2,2,3,3,1,91414
48,5/26/17 18:01,R_2ScvbD7f,3,2,1,1,1,91116
49,5/26/17 18:50,R_6j808MWq,2,3,2,1,3,91078
50,5/26/17 18:55,R_3NBTcsGb,1,1,3,3,1,91660
51,5/26/17 19:10,R_2atyfq5J,1,1,5,2,1,91074
52,5/26/17 20:20,R_qO2DJW8j,1,2,3,2,3,91116
53,5/30/17 14:02,R_3eqRWV6F,4,2,3,1,2,91790
54,5/30/17 14:26,R_2pWacsLZ,1,1,3,1,1,91104
55,5/30/17 14:36,R_264VRHEY,4,4,4,1,2,91067
56,5/30/17 14:37,R_24wl2xPq,4,2,2,2,2,91111
57,5/30/17 14:59,R_xgxeTSYy,2,1,2,1,1,91302
58,5/30/17 15:04,R_6hMrPyQq,4,1,1,1,3,91660
59,5/30/17 15:04,R_2S2AO4Yf,4,2,4,2,3,91058
60,5/30/17 15:05,R_6nQ3Afyh,3,2,1,1,2,91770
61,5/30/17 15:08,R_2BaK96aj,2,2,1,1,2,91790
62,5/30/17 15:12,R_6Pdb5Rwd,2,1,2,3,2,91601
63,5/30/17 15:20,R_3kByFG6v,2,2,4,2,2,91647
64,5/30/17 15:25,R_3m2UKMJK,2,2,5,1,1,91105
65,5/30/17 15:28,R_3iOoZDb2,1,2,1,3,2,91074
66,5/30/17 15:33,R_ZsCR53Rc,3,2,1,1,3,91302
67,5/30/17 15:45,R_2v32xmIT,4,1,3,3,1,91062
68,5/30/17 15:50,R_2fjvMZoL,2,2,3,2,2,91601
69,5/30/17 16:14,R_2Qxi06zH,3,2,2,1,1,91005
70,5/30/17 16:19,R_6QtITCzO,5,2,2,1,1,91067
71,5/30/17 16:20,R_236r03Y8,2,4,1,1,2,91403
72,5/30/17 16:21,R_28HUqF64,2,2,3,1,3,91721
73,5/30/17 16:29,R_6jQfet5E,2,4,4,1,4,91055
74,5/30/17 16:38,R_BQjjtoQi,1,4,4,2,1,91095
75,5/30/17 16:42,R_3245EvGH,1,4,2,3,4,91074
76,5/30/17 16:50,R_6eVRfDUN,5,3,5,1,1,91015
77,5/30/17 16:50,R_3G2IkJK2,2,3,4,3,2,91128
78,5/30/17 16:55,R_2xYts2i7,5,2,2,1,1,91116
79,5/30/17 16:58,R_6LojPR2r,2,3,3,2,3,91405
80,5/30/17 17:00,R_3EAmktwP,1,1,1,1,1,91040
81,5/30/17 17:01,R_6LGQKz3O,4,2,5,1,2,91403
82,5/30/17 17:02,R_6lgcLP64,2,4,4,1,1,91302
83,5/30/17 17:04,R_yrP5LnHg,2,3,5,1,1,91404
84,5/30/17 17:07,R_ph2vvOoC,3,2,3,2,2,91065
85,5/30/17 17:08,R_3mdzkOMi,2,2,2,3,3,91654
86,5/30/17 17:12,R_6fkjPPb4,4,1,1,1,2,91015
87,5/30/17 17:22,R_3CT6fTji,2,2,5,1,1,91103
88,5/30/17 17:26,R_236zwlZZ,1,3,4,1,1,91057
89,5/30/17 17:37,R_2ZTxMUJm,4,3,2,3,5,91074
90,5/30/17 17:40,R_3CDT0yZA,3,1,4,2,1,91004
91,5/30/17 17:45,R_AI2bmtpN,4,2,2,3,1,91062
92,5/30/17 17:52,R_3h2HmvzJ,4,2,5,1,1,91103
93,5/30/17 17:53,R_22lgGix0,5,2,5,2,1,91070
94,5/30/17 17:56,R_8C7DbhrS,1,2,1,3,3,91123
95,5/30/17 18:08,R_2Ck9L6oI,5,1,4,1,2,91118
96,5/30/17 18:10,R_3IdafpFB,3,4,4,3,2,91088
97,5/30/17 18:19,R_2QPp2gBE,2,2,2,2,2,91780
98,5/30/17 18:23,R_2cwsG0w7,1,5,4,2,3,91120
99,5/30/17 18:26,R_66clCdm4,2,2,3,2,2,91037
100,5/30/17 18:29,R_620gbSL0,5,2,3,2,1,91321
101,5/30/17 18:36,R_A7ivKlc7,5,5,5,1,1,91120
102,5/30/17 18:36,R_x5DcK4y3,5,2,2,1,1,91091
103,5/30/17 18:49,R_6H0ivrLJ,2,4,2,3,2,91129
104,5/30/17 18:51,R_3Ibin7df,4,2,2,2,2,91095
105,5/30/17 18:52,R_6dm0F48a,1,1,1,1,1,91075
106,5/30/17 18:55,R_62eTODMj,2,2,1,2,1,91606
107,5/30/17 19:02,R_VPBNZTq8,2,1,4,1,1,91095
108,5/30/17 19:03,R_cuTQhJ9j,1,2,4,1,1,91604
109,5/30/17 19:08,R_6hF62xjq,1,1,1,1,1,91318
110,5/30/17 19:20,R_W0y3BUKB,3,2,1,1,2,91041
111,5/30/17 19:29,R_8cSJ4T8j,2,3,2,2,1,91057
112,5/30/17 19:31,R_2anLMU2j,2,2,1,2,1,91601
113,5/30/17 19:39,R_7UtwITRs,4,2,3,1,1,91401
114,5/30/17 19:40,R_3MmxkoMG,1,2,4,3,1,91721
115,5/30/17 19:52,R_6rBaVTT8,1,4,1,1,2,91015
116,5/30/17 19:53,R_6QuSGAT5,1,2,4,1,1,91079
117,5/30/17 20:04,R_vOI749O9,4,2,4,1,1,91029
118,5/30/17 20:09,R_3eb3XnBt,4,1,3,4,2,91604
119,5/30/17 20:17,R_3KOe5BQL,5,1,4,1,2,91701
120,5/30/17 20:20,R_6ss6iuvJ,1,2,1,1,2,91032
121,5/30/17 20:29,R_6g85Fekf,3,1,2,1,1,91093
122,5/30/17 20:52,R_tYesUIeZ,5,1,1,1,1,91542
123,5/30/17 20:53,R_rqlQHgwb,4,1,2,1,1,91045
124,5/30/17 20:55,R_8ukvYHyW,2,2,5,1,2,91318
125,5/30/17 21:05,R_26gPNaYu,4,2,1,2,1,91015
126,5/30/17 21:08,R_2uVtVFKe,2,1,5,1,1,91501
127,5/30/17 21:10,R_6ibxxX5A,3,2,2,2,2,91106
128,5/30/17 21:10,R_6I4piUGP,1,2,3,1,1,91321
129,5/30/17 21:12,R_xzJpW6t7,2,3,3,3,2,91770
